country,date,confirmed,tests ,cases/100 tests,media2days,media3days,cumulative
USA,04/03/2020,118,,,,,118
USA,05/03/2020,58,,,,,176
USA,06/03/2020,57,,,,,233
USA,07/03/2020,118,3753,"3,14415134559019",,,351
USA,08/03/2020,76,865,"8,78612716763006","5,96513925661013",,427
USA,09/03/2020,167,1756,"9,51025056947608","9,14818886855307","7,14684302756545",594
USA,10/03/2020,194,2472,"7,84789644012945","8,67907350480277","8,71475805907853",788
USA,11/03/2020,275,3798,"7,24065297525013","7,54427470768979","8,19959999495189",1063
USA,12/03/2020,262,5239,"5,00095438060699","6,12080367792856","6,69650126532886",1325
USA,13/03/2020,607,9117,"6,65789185038938","5,82942311549818","6,29983306874883",1932
USA,14/03/2020,528,4550,"11,6043956043956","9,13114372739249","7,75441394513066",2460
USA,15/03/2020,723,7646,"9,45592466649228","10,5301601354439","9,23940404042576",3183
USA,16/03/2020,846,17831,"4,7445460153665","7,10023534092939","8,60162209541813",4029
USA,17/03/2020,1703,15665,"10,8713692946058","7,80795765498615","8,35727999215486",5732
USA,18/03/2020,2008,24782,"8,10265515293358","9,4870122237697","7,90619015430196",7740
USA,19/03/2020,3989,27593,"14,4565650708513","11,2796101118924","11,1435298394636",11729
USA,20/03/2020,5314,36214,"14,6738830286629","14,5652240497571","12,4110344174826",17043
USA,21/03/2020,6164,44754,"13,773070563525","14,223476796094","14,3011728876798",23207
USA,22/03/2020,8682,44547,"19,4895279143377","16,6312992389314","15,9788271688419",31889
USA,23/03/2020,10273,57380,"17,9034506796793","18,6964892970085","17,0553497191807",42162
USA,24/03/2020,9802,68635,"14,2813433379471","16,0923970088132","17,2247739773214",51964
USA,25/03/2020,11974,83448,"14,3490556993577","14,3151995186524","15,5112832389947",63938
USA,26/03/2020,16807,100404,"16,7393729333493","15,5442143163535","15,1232573235514",80745
USA,27/03/2020,18678,103038,"18,127292843417","17,4333328883831","16,4052404920413",99423
USA,28/03/2020,18821,104221,"18,0587405609234","18,0930167021702","17,6418021125632",118244
USA,29/03/2020,20827,88636,"23,4972246039984","20,7779825824609","19,8944193361129",139071
USA,30/03/2020,21469,117569,"18,2607660182531","20,8789953111257","19,9389103943916",160540
USA,31/03/2020,24240,111134,"21,8115068295931","20,0361364239231","21,1898324839482",184780
USA,01/04/2020,24998,107576,"23,237525098535","22,524515964064","21,1032659821271",209778
USA,02/04/2020,27103,118165,"22,9365717429019","23,0870484207184","22,6618678903433",236881
USA,03/04/2020,28819,132176,"21,8035044183513","22,3700380806266","22,6592004199294",265700
USA,04/04/2020,32425,228666,"14,1800704958324","17,9917874570918","19,6400488856952",298125
USA,05/04/2020,34272,119456,"28,690061612644","21,4350660542382","21,5578788422759",332397
USA,06/04/2020,25398,150886,"16,8325755868669","22,7613185997554","19,9009025651144",357795
USA,07/04/2020,30561,152886,"19,9894038695499","18,4109897282084","21,8373470230203",388356
USA,08/04/2020,30613,144471,"21,1897197361408","20,5895618028453","19,3372330641859",418969
USA,09/04/2020,33323,166052,"20,0678100835883","20,6287649098645","20,415644563093",452292
USA,10/04/2020,33901,157723,"21,4940116533416","20,7809108684649","20,9171804910236",486193
USA,11/04/2020,35527,139691,"25,4325618686959","23,4632867610188","22,3314612018753",521720
USA,12/04/2020,28391,140454,"20,2137354578723","22,8231486632841","22,3801029933033",550111
USA,13/04/2020,27620,133189,"20,7374482877715","20,4755918728219","22,1279152047799",577731
USA,14/04/2020,25023,150735,"16,6006567817693","18,6690525347704","19,1839468424711",602754
USA,15/04/2020,26922,136793,"19,6808316215011","18,1407442016352","19,0063122303473",629676
USA,16/04/2020,30148,162233,"18,5831489277767","19,1319902746389","18,2882124436824",659824
USA,17/04/2020,31667,158202,"20,0168139467263","19,2999814372515","19,4269314986681",691491
USA,18/04/2020,30833,142311,"21,6659288459782","20,8413713963523","20,0886305734937",722324
USA,19/04/2020,32922,160254,"20,5436369763001","21,1047829111391","20,7421265896682",755246
USA,20/04/2020,24601,147992,"16,6231958484242","18,5834164123622","19,6109205569008",779847
USA,21/04/2020,28065,148378,"18,9145291080888","17,7688624782565","18,6937873109377",807912
USA,22/04/2020,37289,315739,"11,8100709763444","15,3623000422166","15,7825986442858",845201
USA,23/04/2020,17588,194118,"9,06046837490599","10,4352696756252","13,2616894864464",862789
USA,24/04/2020,26543,235749,"11,2590085217753","10,1597384483406","10,7098492910086",889332
USA,25/04/2020,21352,279665,"7,63484883700141","9,44692867938835","9,31810857789423",910684
USA,26/04/2020,48529,208113,"23,3185817320398","15,4767152845206","14,0708130302722",959213
USA,27/04/2020,26857,196273,"13,6834918710164","18,5010368015281","14,8789741466859",986070
USA,28/04/2020,22541,205323,"10,9783122202578","12,3309020456371","15,9934619411047",1008611
USA,29/04/2020,24132,233624,"10,3294182104578","10,6538652153578","11,663740767244",1032743
USA,30/04/2020,27326,230469,"11,8566922232491","11,0930552168535","11,0548075513216",1060069
USA,01/05/2020,29917,297038,"10,0717753284092","10,9642337758291","10,752628587372",1089986
USA,02/05/2020,33955,250453,"13,5574339297194","11,8146046290643","11,8286338271259",1123941
USA,03/05/2020,29288,240904,"12,1575399329193","12,8574869313193","11,9289163970159",1153229
USA,04/05/2020,24972,233874,"10,6775443187357","11,4175421258275","12,1308393937915",1178201
USA,05/05/2020,22593,260828,"8,66203015013726","9,66978723443649","10,4990381339308",1200794
USA,06/05/2020,23841,246271,"9,68079879482359","9,17141447248042","9,67345775456552",1224635
USA,07/05/2020,24128,304469,"7,92461629919631","8,80270754700995","8,75581508138572",1248763
USA,08/05/2020,28369,299294,"9,47863973216971","8,70162801568301","9,02801827539653",1277132
USA,09/05/2020,26957,293595,"9,18169587356733","9,33016780286852","8,86165063497778",1304089
USA,10/05/2020,25612,267784,"9,56442505900278","9,37306046628505","9,40825355491327",1329701
USA,11/05/2020,20258,388293,"5,21719423219064","7,39080964559671","7,98777172158692",1349959
USA,12/05/2020,18117,304753,"5,94481432504356","5,5810042786171","6,90881120541232",1368076
USA,13/05/2020,22048,326348,"6,75597828085357","6,35039630294856","5,97266227936259",1390124
USA,14/05/2020,20782,381659,"5,44517488124216","6,10057658104786","6,04865582904643",1410906
USA,15/05/2020,27143,361545,"7,50750252389053","6,47633870256634","6,56955189532875",1438049
USA,16/05/2020,25508,352938,"7,22733171265208","7,3674171182713","6,72666970592826",1463557
USA,17/05/2020,24487,403959,"6,06175379184521","6,64454275224865","6,93219600946261",1488044
USA,18/05/2020,18873,338020,"5,58339743210461","5,82257561197491","6,29082764553397",1506917
Italy,26/02/2020,93,964,"9,64730290456432",,,93
Italy,27/02/2020,78,2427,"3,21384425216316","6,43057357836374",,186
Italy,28/02/2020,250,3681,"6,79163270850312","5,00273848033315","6,55092662174354",264
Italy,29/02/2020,238,2966,"8,02427511800405","7,40795391325359","6,00991735955678",514
Italy,01/03/2020,240,2466,"9,7323600973236","8,87831760766382","8,18275597461026",752
