,Country,Code,date,total,daily
1,Australia,AUS,2020-01-01,0,0
2,Australia,AUS,2020-01-02,0,0
3,Australia,AUS,2020-01-03,0,0
4,Australia,AUS,2020-01-04,0,0
5,Australia,AUS,2020-01-05,0,0
6,Australia,AUS,2020-01-06,0,0
7,Australia,AUS,2020-01-07,0,0
8,Australia,AUS,2020-01-08,0,0
9,Australia,AUS,2020-01-09,0,0
10,Australia,AUS,2020-01-10,0,0
11,Australia,AUS,2020-01-11,0,0
12,Australia,AUS,2020-01-12,0,0
13,Australia,AUS,2020-01-13,0,0
14,Australia,AUS,2020-01-14,0,0
15,Australia,AUS,2020-01-15,0,0
16,Australia,AUS,2020-01-16,0,0
17,Australia,AUS,2020-01-17,0,0
18,Australia,AUS,2020-01-18,0,0
19,Australia,AUS,2020-01-19,0,0
20,Australia,AUS,2020-01-20,0,0
21,Australia,AUS,2020-01-21,0,0
22,Australia,AUS,2020-01-22,0,0
23,Australia,AUS,2020-01-23,0,0
24,Australia,AUS,2020-01-24,0,0
25,Australia,AUS,2020-01-25,0,0
26,Australia,AUS,2020-01-26,0,0
27,Australia,AUS,2020-01-27,0,0
28,Australia,AUS,2020-01-28,0,0
29,Australia,AUS,2020-01-29,0,0
30,Australia,AUS,2020-01-30,0,0
31,Australia,AUS,2020-01-31,0,0
32,Australia,AUS,2020-02-01,0,0
33,Australia,AUS,2020-02-02,0,0
34,Australia,AUS,2020-02-03,0,0
35,Australia,AUS,2020-02-04,0,0
36,Australia,AUS,2020-02-05,0,0
37,Australia,AUS,2020-02-06,0,0
38,Australia,AUS,2020-02-07,0,0
39,Australia,AUS,2020-02-08,0,0
40,Australia,AUS,2020-02-09,0,0
41,Australia,AUS,2020-02-10,0,0
42,Australia,AUS,2020-02-11,0,0
43,Australia,AUS,2020-02-12,0,0
44,Australia,AUS,2020-02-13,0,0
45,Australia,AUS,2020-02-14,0,0
46,Australia,AUS,2020-02-15,0,0
47,Australia,AUS,2020-02-16,0,0
48,Australia,AUS,2020-02-17,0,0
49,Australia,AUS,2020-02-18,0,0
50,Australia,AUS,2020-02-19,0,0
51,Australia,AUS,2020-02-20,0,0
52,Australia,AUS,2020-02-21,0,0
53,Australia,AUS,2020-02-22,0,0
54,Australia,AUS,2020-02-23,0,0
55,Australia,AUS,2020-02-24,0,0
56,Australia,AUS,2020-02-25,0,0
57,Australia,AUS,2020-02-26,0,0
58,Australia,AUS,2020-02-27,0,0
59,Australia,AUS,2020-02-28,0,0
60,Australia,AUS,2020-02-29,0,0
61,Australia,AUS,2020-03-01,1,1
62,Australia,AUS,2020-03-02,1,0
63,Australia,AUS,2020-03-03,1,0
64,Australia,AUS,2020-03-04,1,0
65,Australia,AUS,2020-03-05,2,1
66,Australia,AUS,2020-03-06,2,0
67,Australia,AUS,2020-03-07,2,0
68,Australia,AUS,2020-03-08,3,1
69,Australia,AUS,2020-03-09,3,0
70,Australia,AUS,2020-03-10,3,0
71,Australia,AUS,2020-03-11,3,0
72,Australia,AUS,2020-03-12,3,0
73,Australia,AUS,2020-03-13,3,0
74,Australia,AUS,2020-03-14,3,0
75,Australia,AUS,2020-03-15,3,0
76,Australia,AUS,2020-03-16,5,2
77,Australia,AUS,2020-03-17,5,0
78,Australia,AUS,2020-03-18,5,0
79,Australia,AUS,2020-03-19,6,1
80,Australia,AUS,2020-03-20,6,0
81,Australia,AUS,2020-03-21,7,1
82,Australia,AUS,2020-03-22,7,0
83,Australia,AUS,2020-03-23,7,0
84,Australia,AUS,2020-03-24,7,0
85,Australia,AUS,2020-03-25,8,1
86,Australia,AUS,2020-03-26,11,3
87,Australia,AUS,2020-03-27,13,2
88,Australia,AUS,2020-03-28,13,0
89,Australia,AUS,2020-03-29,14,1
90,Australia,AUS,2020-03-30,16,2
91,Australia,AUS,2020-03-31,19,3
92,Australia,AUS,2020-04-01,20,1
93,Australia,AUS,2020-04-02,21,1
94,Australia,AUS,2020-04-03,23,2
95,Australia,AUS,2020-04-04,30,7
96,Australia,AUS,2020-04-05,34,4
97,Australia,AUS,2020-04-06,36,2
98,Australia,AUS,2020-04-07,42,6
99,Australia,AUS,2020-04-08,45,3
100,Belgium,BEL,2020-01-01,0,0
