,Country,date,confirmed,tests,cases/100 tests,media2days,media3days,cumulative
1,USA,2020-03-04,118,866,13.6258660508083,NA,NA,118
2,USA,2020-03-05,58,263,22.0532319391635,17.8395489949859,NA,176
3,USA,2020-03-06,57,665,8.57142857142857,15.312330255296,14.7501755204668,233
4,USA,2020-03-07,118,356,33.1460674157303,20.8587479935795,21.2569093087741,351
5,USA,2020-03-08,76,602,12.624584717608,22.8853260666692,18.114026901589,427
6,USA,2020-03-09,167,1199,13.9282735613011,13.2764291394545,19.8996418982131,594
7,USA,2020-03-10,194,634,30.5993690851735,22.2638213232373,19.0507424546942,788
8,USA,2020-03-11,275,2538,10.8353033884949,20.7173362368342,18.4543153449898,1063
9,USA,2020-03-12,262,2233,11.7330944917152,11.284198940105,17.7225889884612,1325
10,USA,2020-03-13,607,6179,9.82359605114096,10.7783452714281,10.7973313104503,1932
11,USA,2020-03-14,528,4017,13.1441374159821,11.4838667335615,11.5669426529461,2460
12,USA,2020-03-15,723,6172,11.7141931302657,12.4291652731239,11.5606421991296,3183
13,USA,2020-03-16,846,14399,5.87540801444545,8.79480057235558,10.2445795202311,4029
14,USA,2020-03-17,1703,13203,12.8985836552299,9.38699583483766,10.162728266647,5732
15,USA,2020-03-18,2008,20629,9.73386979494886,11.3162267250894,9.50262048820806,7740
16,USA,2020-03-19,3989,26883,14.8383736934122,12.2861217441805,12.4902757145303,11729
17,USA,2020-03-20,5314,34342,15.4737639042572,15.1560687988347,13.3486691308727,17043
18,USA,2020-03-21,6164,43926,14.032691344534,14.7532276243956,14.7816096474011,23207
19,USA,2020-03-22,8682,46236,18.7775759148715,16.4051336297028,16.0946770545542,31889
20,USA,2020-03-23,10273,54131,18.9780347675085,18.87780534119,17.2627673423047,42162
21,USA,2020-03-24,9802,65239,15.0247551311332,17.0013949493208,17.5934552711711,51964
22,USA,2020-03-25,11974,76820,15.5870866961729,15.305920913653,16.5299588649382,63938
23,USA,2020-03-26,16807,97806,17.1840173404495,16.3855520183112,15.9319530559185,80745
24,USA,2020-03-27,18678,107295,17.4080805256536,17.2960489330515,16.726394854092,99423
25,USA,2020-03-28,18821,109071,17.2557325045154,17.3319065150845,17.2826101235395,118244
26,USA,2020-03-29,20827,95647,21.7748596401351,19.5152960723252,18.8128908901014,139071
27,USA,2020-03-30,21469,113503,18.9149185484084,20.3448890942717,19.3151702310196,160540
28,USA,2020-03-31,24240,104117,23.2815006194954,21.0982095839519,21.3237596026796,184780
29,USA,2020-04-01,24998,100989,24.7531909415877,24.0173457805415,22.3165367031638,209778
30,USA,2020-04-02,27103,117698,23.0275790582678,23.8903849999277,23.6874235397836,236881
31,USA,2020-04-03,28819,NA,NA,NA,NA,265700
32,USA,2020-04-04,32425,NA,NA,NA,NA,298125
33,Italy,2020-02-26,93,964,9.64730290456431,NA,NA,93
