,Country,code,date,cumulative,confirmed
1,Australia,AUS,2020-01-01,0,0
2,Australia,AUS,2020-01-02,0,0
3,Australia,AUS,2020-01-03,0,0
4,Australia,AUS,2020-01-04,0,0
5,Australia,AUS,2020-01-05,0,0
6,Australia,AUS,2020-01-06,0,0
7,Australia,AUS,2020-01-07,0,0
8,Australia,AUS,2020-01-08,0,0
9,Australia,AUS,2020-01-09,0,0
10,Australia,AUS,2020-01-10,0,0
11,Australia,AUS,2020-01-11,0,0
12,Australia,AUS,2020-01-12,0,0
13,Australia,AUS,2020-01-13,0,0
14,Australia,AUS,2020-01-14,0,0
15,Australia,AUS,2020-01-15,0,0
16,Australia,AUS,2020-01-16,0,0
17,Australia,AUS,2020-01-17,0,0
18,Australia,AUS,2020-01-18,0,0
19,Australia,AUS,2020-01-19,0,0
20,Australia,AUS,2020-01-20,0,0
21,Australia,AUS,2020-01-21,0,0
22,Australia,AUS,2020-01-22,0,0
23,Australia,AUS,2020-01-23,0,0
24,Australia,AUS,2020-01-24,0,0
25,Australia,AUS,2020-01-25,1,1
26,Australia,AUS,2020-01-26,4,3
27,Australia,AUS,2020-01-27,4,0
28,Australia,AUS,2020-01-28,4,0
29,Australia,AUS,2020-01-29,4,0
30,Australia,AUS,2020-01-30,6,2
31,Australia,AUS,2020-01-31,7,1
32,Australia,AUS,2020-02-01,9,2
33,Australia,AUS,2020-02-02,11,2
34,Australia,AUS,2020-02-03,11,0
35,Australia,AUS,2020-02-04,11,0
36,Australia,AUS,2020-02-05,12,1
37,Australia,AUS,2020-02-06,13,1
38,Australia,AUS,2020-02-07,14,1
39,Australia,AUS,2020-02-08,14,0
40,Australia,AUS,2020-02-09,14,0
41,Australia,AUS,2020-02-10,14,0
42,Australia,AUS,2020-02-11,14,0
43,Australia,AUS,2020-02-12,14,0
44,Australia,AUS,2020-02-13,14,0
45,Australia,AUS,2020-02-14,15,1
46,Australia,AUS,2020-02-15,15,0
47,Australia,AUS,2020-02-16,15,0
48,Australia,AUS,2020-02-17,15,0
49,Australia,AUS,2020-02-18,15,0
50,Australia,AUS,2020-02-19,15,0
51,Australia,AUS,2020-02-20,15,0
52,Australia,AUS,2020-02-21,17,2
53,Australia,AUS,2020-02-22,21,4
54,Australia,AUS,2020-02-23,22,1
55,Australia,AUS,2020-02-24,22,0
56,Australia,AUS,2020-02-25,22,0
57,Australia,AUS,2020-02-26,22,0
58,Australia,AUS,2020-02-27,23,1
59,Australia,AUS,2020-02-28,23,0
60,Australia,AUS,2020-02-29,25,2
61,Australia,AUS,2020-03-01,26,1
62,Australia,AUS,2020-03-02,29,3
63,Australia,AUS,2020-03-03,33,4
64,Australia,AUS,2020-03-04,41,8
65,Australia,AUS,2020-03-05,52,11
66,Australia,AUS,2020-03-06,59,7
67,Australia,AUS,2020-03-07,63,4
68,Australia,AUS,2020-03-08,74,11
69,Australia,AUS,2020-03-09,80,6
70,Australia,AUS,2020-03-10,100,20
71,Australia,AUS,2020-03-11,112,12
72,Australia,AUS,2020-03-12,126,14
73,Australia,AUS,2020-03-13,156,30
74,Australia,AUS,2020-03-14,197,41
75,Australia,AUS,2020-03-15,249,52
76,Australia,AUS,2020-03-16,298,49
77,Australia,AUS,2020-03-17,375,77
78,Australia,AUS,2020-03-18,454,79
79,Australia,AUS,2020-03-19,565,111
80,Australia,AUS,2020-03-20,709,144
81,Australia,AUS,2020-03-21,874,165
82,Australia,AUS,2020-03-22,1098,224
83,Australia,AUS,2020-03-23,1709,611
84,Australia,AUS,2020-03-24,1823,114
85,Australia,AUS,2020-03-25,2423,600
86,Australia,AUS,2020-03-26,2799,376
87,Australia,AUS,2020-03-27,3166,367
88,Australia,AUS,2020-03-28,3378,212
89,Australia,AUS,2020-03-29,3809,431
90,Australia,AUS,2020-03-30,4093,284
91,Australia,AUS,2020-03-31,4557,464
92,Australia,AUS,2020-04-01,4707,150
93,Australia,AUS,2020-04-02,4976,269
94,Australia,AUS,2020-04-03,5224,248
95,Australia,AUS,2020-04-04,5548,324
96,Australia,AUS,2020-04-05,5687,139
97,Australia,AUS,2020-04-06,5744,57
98,Australia,AUS,2020-04-07,5844,100
99,Australia,AUS,2020-04-08,5956,112
