country,code,date,cumulative,confirmed
Australia,AUS,01/01/2020,0,0
Australia,AUS,02/01/2020,0,0
Australia,AUS,03/01/2020,0,0
Australia,AUS,04/01/2020,0,0
Australia,AUS,05/01/2020,0,0
Australia,AUS,06/01/2020,0,0
Australia,AUS,07/01/2020,0,0
Australia,AUS,08/01/2020,0,0
Australia,AUS,09/01/2020,0,0
Australia,AUS,10/01/2020,0,0
Australia,AUS,11/01/2020,0,0
Australia,AUS,12/01/2020,0,0
Australia,AUS,13/01/2020,0,0
Australia,AUS,14/01/2020,0,0
Australia,AUS,15/01/2020,0,0
Australia,AUS,16/01/2020,0,0
Australia,AUS,17/01/2020,0,0
Australia,AUS,18/01/2020,0,0
Australia,AUS,19/01/2020,0,0
Australia,AUS,20/01/2020,0,0
Australia,AUS,21/01/2020,0,0
Australia,AUS,22/01/2020,0,0
Australia,AUS,23/01/2020,0,0
Australia,AUS,24/01/2020,0,0
Australia,AUS,25/01/2020,1,1
Australia,AUS,26/01/2020,4,3
Australia,AUS,27/01/2020,4,0
Australia,AUS,28/01/2020,4,0
Australia,AUS,29/01/2020,4,0
Australia,AUS,30/01/2020,6,2
Australia,AUS,31/01/2020,7,1
Australia,AUS,01/02/2020,9,2
Australia,AUS,02/02/2020,11,2
Australia,AUS,03/02/2020,11,0
Australia,AUS,04/02/2020,11,0
Australia,AUS,05/02/2020,12,1
Australia,AUS,06/02/2020,13,1
Australia,AUS,07/02/2020,14,1
Australia,AUS,08/02/2020,14,0
Australia,AUS,09/02/2020,14,0
Australia,AUS,10/02/2020,14,0
Australia,AUS,11/02/2020,14,0
Australia,AUS,12/02/2020,14,0
Australia,AUS,13/02/2020,14,0
Australia,AUS,14/02/2020,15,1
Australia,AUS,15/02/2020,15,0
Australia,AUS,16/02/2020,15,0
Australia,AUS,17/02/2020,15,0
Australia,AUS,18/02/2020,15,0
Australia,AUS,19/02/2020,15,0
Australia,AUS,20/02/2020,15,0
Australia,AUS,21/02/2020,17,2
Australia,AUS,22/02/2020,21,4
Australia,AUS,23/02/2020,22,1
Australia,AUS,24/02/2020,22,0
Australia,AUS,25/02/2020,22,0
Australia,AUS,26/02/2020,22,0
Australia,AUS,27/02/2020,23,1
Australia,AUS,28/02/2020,23,0
Australia,AUS,29/02/2020,25,2
Australia,AUS,01/03/2020,26,1
Australia,AUS,02/03/2020,29,3
Australia,AUS,03/03/2020,33,4
Australia,AUS,04/03/2020,41,8
Australia,AUS,05/03/2020,52,11
Australia,AUS,06/03/2020,59,7
Australia,AUS,07/03/2020,63,4
Australia,AUS,08/03/2020,74,11
Australia,AUS,09/03/2020,80,6
Australia,AUS,10/03/2020,100,20
Australia,AUS,11/03/2020,112,12
Australia,AUS,12/03/2020,126,14
Australia,AUS,13/03/2020,156,30
Australia,AUS,14/03/2020,197,41
Australia,AUS,15/03/2020,249,52
