country,Code,date,total,daily
Australia,AUS,01/01/2020,0,0
Australia,AUS,02/01/2020,0,0
Australia,AUS,03/01/2020,0,0
Australia,AUS,04/01/2020,0,0
Australia,AUS,05/01/2020,0,0
Australia,AUS,06/01/2020,0,0
Australia,AUS,07/01/2020,0,0
Australia,AUS,08/01/2020,0,0
Australia,AUS,09/01/2020,0,0
Australia,AUS,10/01/2020,0,0
Australia,AUS,11/01/2020,0,0
Australia,AUS,12/01/2020,0,0
Australia,AUS,13/01/2020,0,0
Australia,AUS,14/01/2020,0,0
Australia,AUS,15/01/2020,0,0
Australia,AUS,16/01/2020,0,0
Australia,AUS,17/01/2020,0,0
Australia,AUS,18/01/2020,0,0
Australia,AUS,19/01/2020,0,0
Australia,AUS,20/01/2020,0,0
Australia,AUS,21/01/2020,0,0
Australia,AUS,22/01/2020,0,0
Australia,AUS,23/01/2020,0,0
Australia,AUS,24/01/2020,0,0
Australia,AUS,25/01/2020,0,0
Australia,AUS,26/01/2020,0,0
Australia,AUS,27/01/2020,0,0
Australia,AUS,28/01/2020,0,0
Australia,AUS,29/01/2020,0,0
Australia,AUS,30/01/2020,0,0
Australia,AUS,31/01/2020,0,0
Australia,AUS,01/02/2020,0,0
Australia,AUS,02/02/2020,0,0
Australia,AUS,03/02/2020,0,0
Australia,AUS,04/02/2020,0,0
Australia,AUS,05/02/2020,0,0
Australia,AUS,06/02/2020,0,0
Australia,AUS,07/02/2020,0,0
Australia,AUS,08/02/2020,0,0
Australia,AUS,09/02/2020,0,0
Australia,AUS,10/02/2020,0,0
Australia,AUS,11/02/2020,0,0
Australia,AUS,12/02/2020,0,0
Australia,AUS,13/02/2020,0,0
Australia,AUS,14/02/2020,0,0
Australia,AUS,15/02/2020,0,0
Australia,AUS,16/02/2020,0,0
Australia,AUS,17/02/2020,0,0
Australia,AUS,18/02/2020,0,0
Australia,AUS,19/02/2020,0,0
Australia,AUS,20/02/2020,0,0
Australia,AUS,21/02/2020,0,0
Australia,AUS,22/02/2020,0,0
Australia,AUS,23/02/2020,0,0
Australia,AUS,24/02/2020,0,0
Australia,AUS,25/02/2020,0,0
Australia,AUS,26/02/2020,0,0
Australia,AUS,27/02/2020,0,0
Australia,AUS,28/02/2020,0,0
Australia,AUS,29/02/2020,0,0
Australia,AUS,01/03/2020,1,1
Australia,AUS,02/03/2020,1,0
Australia,AUS,03/03/2020,1,0
Australia,AUS,04/03/2020,1,0
Australia,AUS,05/03/2020,2,1
Australia,AUS,06/03/2020,2,0
Australia,AUS,07/03/2020,2,0
Australia,AUS,08/03/2020,3,1
Australia,AUS,09/03/2020,3,0
Australia,AUS,10/03/2020,3,0
Australia,AUS,11/03/2020,3,0
Australia,AUS,12/03/2020,3,0
Australia,AUS,13/03/2020,3,0
Australia,AUS,14/03/2020,3,0
Australia,AUS,15/03/2020,3,0
