"","Country","Code","Date","DeathsTotal","NewDeaths"
"1","Belgium","BEL",2019-12-31,0,0
"2","Belgium","BEL",2020-01-01,0,0
"3","Belgium","BEL",2020-01-02,0,0
"4","Belgium","BEL",2020-01-03,0,0
"5","Belgium","BEL",2020-01-04,0,0
"6","Belgium","BEL",2020-01-05,0,0
"7","Belgium","BEL",2020-01-06,0,0
"8","Belgium","BEL",2020-01-07,0,0
"9","Belgium","BEL",2020-01-08,0,0
"10","Belgium","BEL",2020-01-09,0,0
"11","Belgium","BEL",2020-01-10,0,0
"12","Belgium","BEL",2020-01-11,0,0
"13","Belgium","BEL",2020-01-12,0,0
"14","Belgium","BEL",2020-01-13,0,0
"15","Belgium","BEL",2020-01-14,0,0
"16","Belgium","BEL",2020-01-15,0,0
"17","Belgium","BEL",2020-01-16,0,0
"18","Belgium","BEL",2020-01-17,0,0
"19","Belgium","BEL",2020-01-18,0,0
"20","Belgium","BEL",2020-01-19,0,0
"21","Belgium","BEL",2020-01-20,0,0
"22","Belgium","BEL",2020-01-21,0,0
"23","Belgium","BEL",2020-01-22,0,0
"24","Belgium","BEL",2020-01-23,0,0
"25","Belgium","BEL",2020-01-24,0,0
"26","Belgium","BEL",2020-01-25,0,0
"27","Belgium","BEL",2020-01-26,0,0
"28","Belgium","BEL",2020-01-27,0,0
"29","Belgium","BEL",2020-01-28,0,0
"30","Belgium","BEL",2020-01-29,0,0
"31","Belgium","BEL",2020-01-30,0,0
"32","Belgium","BEL",2020-01-31,0,0
"33","Belgium","BEL",2020-02-01,0,0
"34","Belgium","BEL",2020-02-02,0,0
"35","Belgium","BEL",2020-02-03,0,0
"36","Belgium","BEL",2020-02-04,0,0
"37","Belgium","BEL",2020-02-05,0,0
"38","Belgium","BEL",2020-02-06,0,0
"39","Belgium","BEL",2020-02-07,0,0
"40","Belgium","BEL",2020-02-08,0,0
"41","Belgium","BEL",2020-02-09,0,0
"42","Belgium","BEL",2020-02-10,0,0
"43","Belgium","BEL",2020-02-11,0,0
"44","Belgium","BEL",2020-02-12,0,0
"45","Belgium","BEL",2020-02-13,0,0
"46","Belgium","BEL",2020-02-14,0,0
"47","Belgium","BEL",2020-02-15,0,0
"48","Belgium","BEL",2020-02-16,0,0
"49","Belgium","BEL",2020-02-17,0,0
"50","Belgium","BEL",2020-02-18,0,0
"51","Belgium","BEL",2020-02-19,0,0
"52","Belgium","BEL",2020-02-20,0,0
"53","Belgium","BEL",2020-02-21,0,0
"54","Belgium","BEL",2020-02-22,0,0
"55","Belgium","BEL",2020-02-23,0,0
"56","Belgium","BEL",2020-02-24,0,0
"57","Belgium","BEL",2020-02-25,0,0
"58","Belgium","BEL",2020-02-26,0,0
"59","Belgium","BEL",2020-02-27,0,0
"60","Belgium","BEL",2020-02-28,0,0
"61","Belgium","BEL",2020-02-29,0,0
"62","Belgium","BEL",2020-03-01,0,0
"63","Belgium","BEL",2020-03-02,0,0
"64","Belgium","BEL",2020-03-03,0,0
"65","Belgium","BEL",2020-03-04,0,0
"66","Belgium","BEL",2020-03-05,0,0
"67","Belgium","BEL",2020-03-06,0,0
"68","Belgium","BEL",2020-03-07,0,0
"69","Belgium","BEL",2020-03-08,0,0
"70","Belgium","BEL",2020-03-09,0,0
"71","Belgium","BEL",2020-03-10,0,0
"72","Belgium","BEL",2020-03-11,0,0
"73","Belgium","BEL",2020-03-12,3,3
"74","Belgium","BEL",2020-03-13,3,0
"75","Belgium","BEL",2020-03-14,3,0
"76","Belgium","BEL",2020-03-15,4,1
"77","Belgium","BEL",2020-03-16,4,0
"78","Belgium","BEL",2020-03-17,5,1
"79","Belgium","BEL",2020-03-18,5,0
"80","Belgium","BEL",2020-03-19,14,9
"81","Belgium","BEL",2020-03-20,21,7
"82","Belgium","BEL",2020-03-21,37,16
"83","Belgium","BEL",2020-03-22,67,30
"84","Belgium","BEL",2020-03-23,75,8
"85","Belgium","BEL",2020-03-24,88,13
"86","Belgium","BEL",2020-03-25,122,34
"87","Belgium","BEL",2020-03-26,178,56
"88","Belgium","BEL",2020-03-27,220,42
"89","Belgium","BEL",2020-03-28,289,69
"90","Belgium","BEL",2020-03-29,353,64
"91","Belgium","BEL",2020-03-30,431,78
"92","Belgium","BEL",2020-03-31,513,82
"93","Belgium","BEL",2020-04-01,705,192
"94","Belgium","BEL",2020-04-02,828,123
"95","Belgium","BEL",2020-04-03,1011,183
"96","Belgium","BEL",2020-04-04,1143,132
"97","Belgium","BEL",2020-04-05,1283,140
"98","China","CHN",2019-12-31,0,0
"99","China","CHN",2020-01-01,0,0
"100","China","CHN",2020-01-02,0,0
"101","China","CHN",2020-01-03,0,0
"102","China","CHN",2020-01-04,0,0
"103","China","CHN",2020-01-05,0,0
"104","China","CHN",2020-01-06,0,0
"105","China","CHN",2020-01-07,0,0
"106","China","CHN",2020-01-08,0,0
"107","China","CHN",2020-01-09,0,0
"108","China","CHN",2020-01-10,0,0
"109","China","CHN",2020-01-11,1,1
"110","China","CHN",2020-01-12,1,0
"111","China","CHN",2020-01-13,1,0
"112","China","CHN",2020-01-14,1,0
"113","China","CHN",2020-01-15,2,1
"114","China","CHN",2020-01-16,2,0
"115","China","CHN",2020-01-17,2,0
"116","China","CHN",2020-01-18,2,0
"117","China","CHN",2020-01-19,3,1
"118","China","CHN",2020-01-20,3,0
"119","China","CHN",2020-01-21,6,3
"120","China","CHN",2020-01-22,17,11
"121","China","CHN",2020-01-23,17,0
"122","China","CHN",2020-01-24,26,9
"123","China","CHN",2020-01-25,41,15
"124","China","CHN",2020-01-26,56,15
"125","China","CHN",2020-01-27,81,25
"126","China","CHN",2020-01-28,106,25
"127","China","CHN",2020-01-29,132,26
"128","China","CHN",2020-01-30,170,38
"129","China","CHN",2020-01-31,213,43
"130","China","CHN",2020-02-01,259,46
"131","China","CHN",2020-02-02,304,45
"132","China","CHN",2020-02-03,361,57
"133","China","CHN",2020-02-04,426,65
"134","China","CHN",2020-02-05,492,66
"135","China","CHN",2020-02-06,564,72
"136","China","CHN",2020-02-07,637,73
"137","China","CHN",2020-02-08,723,86
"138","China","CHN",2020-02-09,812,89
"139","China","CHN",2020-02-10,909,97
"140","China","CHN",2020-02-11,1017,108
"141","China","CHN",2020-02-12,1114,97
"142","China","CHN",2020-02-13,1368,254
"143","China","CHN",2020-02-14,1381,13
"144","China","CHN",2020-02-15,1524,143
"145","China","CHN",2020-02-16,1666,142
"146","China","CHN",2020-02-17,1771,105
"147","China","CHN",2020-02-18,1869,98
"148","China","CHN",2020-02-19,2008,139
"149","China","CHN",2020-02-20,2120,112
"150","China","CHN",2020-02-21,2238,118
"151","China","CHN",2020-02-22,2347,109
"152","China","CHN",2020-02-23,2445,98
"153","China","CHN",2020-02-24,2595,150
"154","China","CHN",2020-02-25,2665,70
"155","China","CHN",2020-02-26,2717,52
"156","China","CHN",2020-02-27,2746,29
"157","China","CHN",2020-02-28,2790,44
"158","China","CHN",2020-02-29,2837,47
"159","China","CHN",2020-03-01,2872,35
"160","China","CHN",2020-03-02,2914,42
"161","China","CHN",2020-03-03,2946,32
"162","China","CHN",2020-03-04,2983,37
"163","China","CHN",2020-03-05,3014,31
"164","China","CHN",2020-03-06,3044,30
"165","China","CHN",2020-03-07,3072,28
"166","China","CHN",2020-03-08,3099,27
"167","China","CHN",2020-03-09,3122,23
"168","China","CHN",2020-03-10,3139,17
"169","China","CHN",2020-03-11,3161,22
"170","China","CHN",2020-03-12,3172,11
"171","China","CHN",2020-03-13,3179,7
"172","China","CHN",2020-03-14,3194,15
"173","China","CHN",2020-03-15,3203,9
"174","China","CHN",2020-03-16,3216,13
"175","China","CHN",2020-03-17,3225,9
"176","China","CHN",2020-03-18,3241,16
"177","China","CHN",2020-03-19,3249,8
"178","China","CHN",2020-03-20,3253,4
"179","China","CHN",2020-03-21,3259,6
"180","China","CHN",2020-03-22,3265,6
"181","China","CHN",2020-03-23,3274,9
"182","China","CHN",2020-03-24,3281,7
"183","China","CHN",2020-03-25,3285,4
"184","China","CHN",2020-03-26,3291,6
"185","China","CHN",2020-03-27,3296,5
"186","China","CHN",2020-03-28,3299,3
"187","China","CHN",2020-03-29,3304,5
"188","China","CHN",2020-03-30,3306,2
"189","China","CHN",2020-03-31,3309,3
"190","China","CHN",2020-04-01,3310,1
"191","China","CHN",2020-04-02,3316,6
"192","China","CHN",2020-04-03,3326,10
"193","China","CHN",2020-04-04,3330,4
"194","China","CHN",2020-04-05,3333,3
"195","Italy","ITA",2019-12-31,0,0
"196","Italy","ITA",2020-01-01,0,0
"197","Italy","ITA",2020-01-02,0,0
"198","Italy","ITA",2020-01-03,0,0
"199","Italy","ITA",2020-01-04,0,0
"200","Italy","ITA",2020-01-05,0,0
"201","Italy","ITA",2020-01-06,0,0
"202","Italy","ITA",2020-01-07,0,0
"203","Italy","ITA",2020-01-08,0,0
"204","Italy","ITA",2020-01-09,0,0
"205","Italy","ITA",2020-01-10,0,0
"206","Italy","ITA",2020-01-11,0,0
"207","Italy","ITA",2020-01-12,0,0
"208","Italy","ITA",2020-01-13,0,0
"209","Italy","ITA",2020-01-14,0,0
"210","Italy","ITA",2020-01-15,0,0
"211","Italy","ITA",2020-01-16,0,0
"212","Italy","ITA",2020-01-17,0,0
"213","Italy","ITA",2020-01-18,0,0
"214","Italy","ITA",2020-01-19,0,0
"215","Italy","ITA",2020-01-20,0,0
"216","Italy","ITA",2020-01-21,0,0
"217","Italy","ITA",2020-01-22,0,0
"218","Italy","ITA",2020-01-23,0,0
"219","Italy","ITA",2020-01-24,0,0
"220","Italy","ITA",2020-01-25,0,0
"221","Italy","ITA",2020-01-26,0,0
"222","Italy","ITA",2020-01-27,0,0
"223","Italy","ITA",2020-01-28,0,0
"224","Italy","ITA",2020-01-29,0,0
"225","Italy","ITA",2020-01-30,0,0
"226","Italy","ITA",2020-01-31,0,0
"227","Italy","ITA",2020-02-01,0,0
"228","Italy","ITA",2020-02-02,0,0
"229","Italy","ITA",2020-02-03,0,0
"230","Italy","ITA",2020-02-04,0,0
"231","Italy","ITA",2020-02-05,0,0
"232","Italy","ITA",2020-02-06,0,0
"233","Italy","ITA",2020-02-07,0,0
"234","Italy","ITA",2020-02-08,0,0
"235","Italy","ITA",2020-02-09,0,0
"236","Italy","ITA",2020-02-10,0,0
"237","Italy","ITA",2020-02-11,0,0
"238","Italy","ITA",2020-02-12,0,0
"239","Italy","ITA",2020-02-13,0,0
"240","Italy","ITA",2020-02-14,0,0
"241","Italy","ITA",2020-02-15,0,0
"242","Italy","ITA",2020-02-16,0,0
"243","Italy","ITA",2020-02-17,0,0
"244","Italy","ITA",2020-02-18,0,0
"245","Italy","ITA",2020-02-19,0,0
"246","Italy","ITA",2020-02-20,0,0
"247","Italy","ITA",2020-02-21,0,0
"248","Italy","ITA",2020-02-22,0,0
"249","Italy","ITA",2020-02-23,2,2
"250","Italy","ITA",2020-02-24,2,0
"251","Italy","ITA",2020-02-25,6,4
