"","Country","Code","Date","DeathsTotal","NewDeaths"
"1","Afghanistan","AFG",2019-12-31,0,NA
"2","Afghanistan","AFG",2020-01-01,0,NA
"3","Afghanistan","AFG",2020-01-02,0,NA
"4","Afghanistan","AFG",2020-01-03,0,NA
"5","Afghanistan","AFG",2020-01-04,0,NA
"6","Afghanistan","AFG",2020-01-05,0,NA
"7","Afghanistan","AFG",2020-01-06,0,NA
"8","Afghanistan","AFG",2020-01-07,0,NA
"9","Afghanistan","AFG",2020-01-08,0,NA
"10","Afghanistan","AFG",2020-01-09,0,NA
"11","Afghanistan","AFG",2020-01-10,0,NA
"12","Afghanistan","AFG",2020-01-11,0,NA
"13","Afghanistan","AFG",2020-01-12,0,NA
"14","Afghanistan","AFG",2020-01-13,0,NA
"15","Afghanistan","AFG",2020-01-14,0,NA
"16","Afghanistan","AFG",2020-01-15,0,NA
"17","Afghanistan","AFG",2020-01-16,0,NA
"18","Afghanistan","AFG",2020-01-17,0,NA
"19","Afghanistan","AFG",2020-01-18,0,NA
"20","Afghanistan","AFG",2020-01-19,0,NA
"21","Afghanistan","AFG",2020-01-20,0,NA
"22","Afghanistan","AFG",2020-01-21,0,NA
"23","Afghanistan","AFG",2020-01-22,0,NA
"24","Afghanistan","AFG",2020-01-23,0,NA
"25","Afghanistan","AFG",2020-01-24,0,NA
"26","Afghanistan","AFG",2020-01-25,0,NA
"27","Afghanistan","AFG",2020-01-26,0,NA
"28","Afghanistan","AFG",2020-01-27,0,NA
"29","Afghanistan","AFG",2020-01-28,0,NA
"30","Afghanistan","AFG",2020-01-29,0,NA
"31","Afghanistan","AFG",2020-01-30,0,NA
"32","Afghanistan","AFG",2020-01-31,0,NA
"33","Afghanistan","AFG",2020-02-01,0,NA
"34","Afghanistan","AFG",2020-02-02,0,NA
"35","Afghanistan","AFG",2020-02-03,0,NA
"36","Afghanistan","AFG",2020-02-04,0,NA
"37","Afghanistan","AFG",2020-02-05,0,NA
"38","Afghanistan","AFG",2020-02-06,0,NA
"39","Afghanistan","AFG",2020-02-07,0,NA
"40","Afghanistan","AFG",2020-02-08,0,NA
"41","Afghanistan","AFG",2020-02-09,0,NA
"42","Afghanistan","AFG",2020-02-10,0,NA
"43","Afghanistan","AFG",2020-02-11,0,NA
"44","Afghanistan","AFG",2020-02-12,0,NA
"45","Afghanistan","AFG",2020-02-13,0,NA
"46","Afghanistan","AFG",2020-02-14,0,NA
"47","Afghanistan","AFG",2020-02-15,0,NA
"48","Afghanistan","AFG",2020-02-16,0,NA
"49","Afghanistan","AFG",2020-02-17,0,NA
"50","Afghanistan","AFG",2020-02-18,0,NA
"51","Afghanistan","AFG",2020-02-19,0,NA
"52","Afghanistan","AFG",2020-02-20,0,NA
"53","Afghanistan","AFG",2020-02-21,0,NA
"54","Afghanistan","AFG",2020-02-22,0,NA
"55","Afghanistan","AFG",2020-02-23,0,NA
"56","Afghanistan","AFG",2020-02-24,0,NA
"57","Afghanistan","AFG",2020-02-25,0,NA
"58","Afghanistan","AFG",2020-02-26,0,NA
"59","Afghanistan","AFG",2020-02-27,0,NA
"60","Afghanistan","AFG",2020-02-28,0,NA
"61","Afghanistan","AFG",2020-02-29,0,NA
"62","Afghanistan","AFG",2020-03-01,0,NA
"63","Afghanistan","AFG",2020-03-02,0,NA
"64","Afghanistan","AFG",2020-03-08,0,NA
"65","Afghanistan","AFG",2020-03-11,0,NA
"66","Afghanistan","AFG",2020-03-15,0,NA
"67","Afghanistan","AFG",2020-03-16,0,NA
"68","Afghanistan","AFG",2020-03-17,0,NA
"69","Afghanistan","AFG",2020-03-18,0,NA
"70","Afghanistan","AFG",2020-03-19,0,NA
"71","Afghanistan","AFG",2020-03-20,0,NA
"72","Afghanistan","AFG",2020-03-21,0,NA
"73","Afghanistan","AFG",2020-03-22,0,NA
"74","Afghanistan","AFG",2020-03-23,0,NA
"75","Afghanistan","AFG",2020-03-24,1,NA
"76","Afghanistan","AFG",2020-03-25,1,NA
"77","Afghanistan","AFG",2020-03-26,1,NA
"78","Afghanistan","AFG",2020-03-27,1,NA
"79","Afghanistan","AFG",2020-03-28,2,NA
"80","Afghanistan","AFG",2020-03-29,3,NA
"81","Afghanistan","AFG",2020-03-30,4,NA
"82","Afghanistan","AFG",2020-03-31,4,NA
"83","Afghanistan","AFG",2020-04-01,4,NA
"84","Afghanistan","AFG",2020-04-02,4,NA
"85","Afghanistan","AFG",2020-04-03,4,NA
"86","Afghanistan","AFG",2020-04-04,4,NA
"87","Afghanistan","AFG",2020-04-05,5,NA
"88","Africa",NA,2019-12-31,0,NA
"89","Africa",NA,2020-01-01,0,NA
"90","Africa",NA,2020-01-02,0,NA
"91","Africa",NA,2020-01-03,0,NA
"92","Africa",NA,2020-01-04,0,NA
"93","Africa",NA,2020-01-05,0,NA
"94","Africa",NA,2020-01-06,0,NA
"95","Africa",NA,2020-01-07,0,NA
"96","Africa",NA,2020-01-08,0,NA
"97","Africa",NA,2020-01-09,0,NA
"98","Africa",NA,2020-01-10,0,NA
"99","Africa",NA,2020-01-11,0,NA
"100","Africa",NA,2020-01-12,0,NA
"101","Africa",NA,2020-01-13,0,NA
"102","Africa",NA,2020-01-14,0,NA
"103","Africa",NA,2020-01-15,0,NA
"104","Africa",NA,2020-01-16,0,NA
"105","Africa",NA,2020-01-17,0,NA
"106","Africa",NA,2020-01-18,0,NA
"107","Africa",NA,2020-01-19,0,NA
"108","Africa",NA,2020-01-20,0,NA
"109","Africa",NA,2020-01-21,0,NA
"110","Africa",NA,2020-01-22,0,NA
"111","Africa",NA,2020-01-23,0,NA
"112","Africa",NA,2020-01-24,0,NA
"113","Africa",NA,2020-01-25,0,NA
"114","Africa",NA,2020-01-26,0,NA
"115","Africa",NA,2020-01-27,0,NA
"116","Africa",NA,2020-01-28,0,NA
"117","Africa",NA,2020-01-29,0,NA
"118","Africa",NA,2020-01-30,0,NA
"119","Africa",NA,2020-01-31,0,NA
"120","Africa",NA,2020-02-01,0,NA
"121","Africa",NA,2020-02-02,0,NA
"122","Africa",NA,2020-02-03,0,NA
"123","Africa",NA,2020-02-04,0,NA
"124","Africa",NA,2020-02-05,0,NA
"125","Africa",NA,2020-02-06,0,NA
"126","Africa",NA,2020-02-07,0,NA
"127","Africa",NA,2020-02-08,0,NA
"128","Africa",NA,2020-02-09,0,NA
"129","Africa",NA,2020-02-10,0,NA
"130","Africa",NA,2020-02-11,0,NA
"131","Africa",NA,2020-02-12,0,NA
"132","Africa",NA,2020-02-13,0,NA
"133","Africa",NA,2020-02-14,0,NA
"134","Africa",NA,2020-02-15,0,NA
"135","Africa",NA,2020-02-16,0,NA
"136","Africa",NA,2020-02-17,0,NA
"137","Africa",NA,2020-02-18,0,NA
"138","Africa",NA,2020-02-19,0,NA
"139","Africa",NA,2020-02-20,0,NA
"140","Africa",NA,2020-02-21,0,NA
"141","Africa",NA,2020-02-22,0,NA
"142","Africa",NA,2020-02-23,0,NA
"143","Africa",NA,2020-02-24,0,NA
"144","Africa",NA,2020-02-25,0,NA
"145","Africa",NA,2020-02-26,0,NA
"146","Africa",NA,2020-02-27,0,NA
"147","Africa",NA,2020-02-28,0,NA
"148","Africa",NA,2020-02-29,0,NA
"149","Africa",NA,2020-03-01,0,NA
"150","Africa",NA,2020-03-02,0,NA
"151","Africa",NA,2020-03-03,0,NA
"152","Africa",NA,2020-03-04,0,NA
"153","Africa",NA,2020-03-05,0,NA
"154","Africa",NA,2020-03-06,0,NA
"155","Africa",NA,2020-03-07,0,NA
"156","Africa",NA,2020-03-08,0,NA
"157","Africa",NA,2020-03-09,1,NA
